id,action,background,department
618805,Make it mandatory for Police & CPS to provide counselling to ALL victims of CSA,"Make it mandatory the Police & Crown Prosecution Service provide ALL victims of child sexual abuse with counselling & support before during & after trial without prejudicing justice. This is in gov legislation, but the CPS & Police still advise victims it can affect the trial. This needs to end.",Home Office
610522,Reduce land ownership and transactions registration transition period to 28 days,"The Government plan to amend land law to require overseas entities to register to buy or sell (or mortgage) land in the UK. However, the Government plans a transitional period of 18 months for overseas entities to register or sell existing property. This should be reduced to 28 days.",Home Office
623021,Automatically remove parental responsibility from domestic abusers,"We want the Government to automatically remove parental responsibility from parents who have been found to have committed domestic abuse. This should apply if someone is convicted of a domestic abuse offence, or where a family court finds that domestic abuse has taken place.",Home Office
300981,Lower the fee for naturalisation as a British citizen,The current fee for naturalisation for adults is £1330. The fee for registering a child as a British citizen is £1012. These should be lowered to the cost to the Home Office of processing the application.,Home Office
616062,Automatically grant emergency visas to those seeking an abortion in the UK,"Access to abortion is at risk in certain parts of the world, and there are pregnant people at risk of gender-based violence who need sanctuary.",Home Office
622053,Make adultery and infidelity domestic abuse offences,"I would like the Government to make adultery and infidelity criminal offences, in line with other forms of abusive behaviour set out in the Domestic Violence Act.",Home Office
325179,Ban the use of horses in the police force,"In light of recent events I believe it is necessary to ban the use of horses by the police, especially when it comes to large crowds and protests that could potentially turn violent. These high-risk situations can put innocent horses in danger and this is not needed to control crowds.",Home Office
565107,"Ease restrictions on production, processing and sale of hemp","1. Allow farmers to process CBD oil from the hemp plants flower and leaf
2. Reclassify hemp as a crop and allow a free market on hemp products and production
3. Get rid of the licenses currently needed to grow hemp
4. Consider the restrictions on THC levels dependant on weather",Home Office
614234,"Make using ""Z"" to show support for the invasion of Ukraine a criminal offence","We ask for the Government to make it a criminal offence to use the letter ""Z"" to indicate support for the Russian invasion of Ukraine. Since Russia invaded Ukraine on 24 of February 2022, the so called ""zvastika"" has been used to indicate support for it.",Home Office
640226,Urgent amnesty for undocumented migrants living in the UK for 5+ years,"We want the Government to take the necessary action to grant an urgent amnesty to undocumented migrants with no criminal record, who have been living in the UK for 5 or more years, enabling them to live, work, and contribute to the UK without fear or limitations.",Home Office
600192,Make it a legal requirement for nightclubs to search guests with x-ray scanners,"In light of the recent rising cases of needles being used to inject, predominantly women, with unknown substances that compromise their sobriety and awareness of their surroundings.",Home Office
321657,Reduce the minimum time required for ILR to 3 years for non-UK NHS workers,"The Government should reduce the minimum time requirement for Indefinite Leave to remain for non-british NHS workers, as is already the case for some other Categories where the continuous period is less than 5 years.",Home Office
330552,Clarity on government scrapping immigration health surcharge for NHS workers.,"Following the government announcement on May the 21st, we as ACMA Southern Doctor's Network demand a clear detailed outline of when changes will take effect, how those who paid the fee since the announcement will be reimbursed and when; and if NHS workers' dependants and spouses will be exempt",Home Office
639639,Establish a British Volunteer Guard,"We want the Government to establish a British Volunteer Guard which can assist Police and other services, comprising of military veterans and civilians whose skills and experiences can help maintain law and order in the country, and help to ensure the protection of the populace.",Home Office
548735,Change the policy for people with dual citizenship changing their passport name,The current rules for people with two passports to change their British passport name requires them to first change the name on their non-British passport. We request that the government does not require the other passport to be changed before the British passport.,Home Office
637190,Stop housing asylum seekers in tourist towns,"We want the Government to stop housing asylum seekers in tourist towns, eg. Skegness and Blackpool",Home Office
580806,Allow the public to vote on the legalisation of cannabis,Allow the general public to vote on the legalisation of cannabis flower and other cannabis products for medical and recreational use,Home Office
641208,Don't increase immigration fees for NHS workers,International citizens are a vital part of the NHS workforce. The Government should not increase fees for visas for these workers - which would only make it harder to attract people with vital skills to work in the UK.,Home Office
302744,"The British government should set a net migration cap at 10,000 a year.","Net immigration should be reduced to 10,000 a year to take the pressure off the public services.",Home Office
648669,Fund more training for public sector workers on domestic violence,"Fund additional training on domestic violence for teachers, social services, police and medical professionals to help cases be identified and dealt with more effectively and efficiently.",Home Office
621932,Allow EU nationals to come to the UK to work in hospitality for up to 2 Years,"The Government should create a special visa for people from the EU countries to come to the UK to work in the hospitality industry for a period of up to 2 years, similar to the Seasonal Work visa for horticulture workers. Some countries have visas like this to support the hospitality sector.",Home Office
577227,Grant citizenship to asylum seekers living in the UK for more than 7 years,Asylum seekers living in the UK for more than 7 years with no criminal records should be given British citizenship considering their living conditions after repeated warnings from healthcare professionals & humanitarian groups specially during Covid-19.,Home Office
595988,Exempt Afghans who worked with UK forces from citizenship fees,Afghans who served alongside the British military in Afghanistan can apply to live in the UK. After a period of time they can receive permission to live permanently in the UK but they still have to pay hundreds of pounds to become UK citizens. The Government should remove this fee.,Home Office
636848,Make time spent on other work visa categories to count towards ILR in 5 years,"There are multiple work visa routes allowing workers to come in the UK. Few of these routes do not offer settlement after 5 years e.g. ICT visa holders, even if workers pay appropriate taxes. Government should treat all foreign workers equally and offer similar settlement options",Home Office
661747,Remove work restrictions for international students,Amend immigration rules to remove limit on working hours: Revise the existing framework to remove limits on the number of hours international students can work.,Home Office
559430,Provide clarification on the new Graduate Route Visa,"In September 2019, the Government announced a new immigration route which will enable international students to remain in the UK for two years after they have completed their studies.",Home Office
647362,Ban wearing balaclavas in public,I want the Government to ban balaclavas in public to help protect children and general public.,Home Office
653879,Make parents liable for any damages caused by minor children,"In cases when minor children cause damage to private properties, for example due to anti-social behaviour, we want the parents of those children to be legally responsible for covering the costs of damages, such as repairs/replacements.",Home Office
604347,Reinstate the 14 years rule for entitlement to indefinite leave to remain,Too many migrants are the victim of hostile immigration policy. We believe current rules applying to migrants who entered the country lawfully but then overstayed are inhumane and unjustified. These migrants should be entitled to indefinite leave to remain after living here for 14 years.,Home Office
616471,Remove the restriction on family awaiting visas from visiting UK as tourists.,The visa application process prevents people visiting while the application is being processed despite them normally being allowed tourist visas.  I would propose this restriction is removed.,Home Office
320329,Do not enforce a compulsory quarantine on people arriving in the UK,"Instead, the Government should focus on increasing testing capabilities, ensuring hospitals and care homes are well equipped, and helping businesses and individuals gradually resume their activities so the economy can start recovering.",Home Office
661654,Recognise the Nikkah as a legal form of marriage,"I would like the Nikkah, the Islamic religious ceremony of marriage, to be recognised in UK law. I want it to have the same legal recognition as other religious ceremonies that are recognised in UK law.",Home Office
653057,Make being in a vehicle that fails to stop if required by the police an offence,"Where motor vehicles or motor bikes fail to stop when required to do so by the police, currently only the driver/rider is guilty of an offence. We believe all people in/on a vehicle should be held equally responsible and face prosecution.",Home Office
614913,Stop the government's 'one way ticket' plan to send asylum seekers to Rwanda,The Government's latest plan is immoral and ignores serious human rights concerns about Rwanda. The Government needs to show leadership and work more closely with the French authorities and the EU to allow traumatised refugees to be processed with safety and dignity before they cross the Channel.,Home Office
332844,Tougher sentences for any assault or attack on police,For our police force to be protected and tougher sentences to those who attack or cause the death of a police officer.,Home Office
572209,Reverse decision to close legal routes for unaccompanied minors seeking asylum,"Reinstate/Expand the Dubs amendment, or introduce new legislation to open up legal routes for unaccompanied child refugees (under 18s) to seek asylum in the UK.",Home Office
330813,Extend eligibility of auto-Bereavement Scheme to all families to acquire ILR.,To widen automatic acquisition of Indefinite Leave to Remain for family members and dependants of any person who has died (regardless of official cause) during the COVID-19 pandemic.,Home Office
600994,Review powers for tackling obstructive protesters and their organisers,"The Government should review existing powers available to them, the police and prosecutors to tackle obstructive protests and their organisers.",Home Office
581536,Allow international students to be self employed,"Allow international students to take part in business activity e.g. by having access to self-employed roles such as, but not limited to, earning through content creation or delivery roles. ",Home Office
310356,Scrap in-country visa Extension fees,"Can we know what prime minister or Government announced for legal immigrants resident in the country. While they are also human and part of the system, contributing to the economy. ",Home Office
649099,Require police to have training on domestic abuse/post-separation control,"Implement a law so that all serving police officers are required to have mandatory domestic abuse and post-separation control training. I am concerned that currently, too many domestic abuse victims are left to suffer and domestic abusers walk around freely.",Home Office
606693,Make the discarding of syringes in a public place a specific criminal offence,"The Government should create a specific criminal offence of discarding syringes in a public place, with penalties up to and including custodial sentences.",Home Office
649089,Seek worldwide disarmament of weapons of mass destruction within 5 years,The Government should seek worldwide disarmament of weapons of mass destruction within 5 years,Home Office
577626,Close the border for horse travel to stop EHV,The Government should intervene to stop the movement of horses into the UK to help prevent the spread of Equine Herpesvirus (EHV). This could help to protect the UK equine industry.,Home Office
640393,Create safe routes for Iranians to apply for asylum in the UK,"We want the Government to take urgent action to provide a safe and accessible pathway for Iranians at risk to seek asylum in the UK, including by making an out of country application for asylum.",Home Office
581208,Reform Calculations for Child Maintenance where the child stays with the NRP,"If a child is with a Non Resident Parent (NRP) for 175+ nights a year (50/50), this gives only a 50% reduction of maintenance. At 175+ nights this should be a 100% reduction. For fewer days the payment should be pro-rata based on this principle.",Home Office
314373,Introduce mandatory Identity Cards,"We call upon the Government to introduce mandatory Identity Cards. For many years in our country, this move has been resisted.

Now, with the Covid19 pandemic affecting our country, it is time to change tack and bring in Identity Cards. These could be useful in a number of ways.",Home Office
587749,Allow European school visits to UK with only ID cards and a List of Travellers,"Consider the financial & educational impact of no longer allowing school age children and their teachers to enter UK with just ID cards. Many of these groups come for a small number of days, the financial & organisational costs of obtaining passports and visas is prohibitive",Home Office
578173,Fund additional support for victims of COVID19 racism and anti-racism programmes,"Since COVID19, UK hate crimes against East and South East Asians (ESEA) rose significantly in some areas. We all suffer from the virus’ effects, but ESEA are also targeted by unprovoked verbal assaults, threats and violent attacks. This even includes our NHS staff. The Government must act now.",Home Office
641915,Automatically make the homeless with diabetes a priority for housing,"I wish the Government to change legislation to ensure anyone with diabetes is automatically considered a priority for temporary accommodation to start with, and that they are assisted with their housing requirements.",Home Office
599435,Give Asylum Seekers right to work 4 weeks after arrival in UK,"Asylum seekers are not allowed to work and provide for their families. If Government allowed them to apply for work after 4 weeks of arrival there would be many benefits. Many highly skilled people are stuck in the system, unable to support their families when they could.",Home Office
652346,Fund free driving lessons for carers,We want the Government to provide funding for all carers to be able to access free driving lessons.,Home Office
575517,Suspend No Recourse to Public Funds visa conditions,"Call on the Government to urgently suspend No Recourse to Public Funds visa conditions so that migrants and their families are protected from the health and financial impacts of Covid-19. More support is needed for those who live and work in the UK, to ensure they can access the public safety net.",Home Office
590769,Reduce the Indefinite Leave to Remain fees,Introduce lower fees for dependents in ILR applications and/or introduce a family cap for families that apply (main applicant + direct dependents such as spouse or children). Indefinite leave to remain fees are quoted at almost 10x the home office cost to process them (£2389 vs £243 per applicant)!!,Home Office
324903,Introduce stricter restrictions on the sale and ownership of crossbows,The Government should require the sale and ownership of crossbows to be registered in the same way as it does for firearms.,Home Office
609397,Allow Ukrainians with family in the UK to enter the UK without a visa,Allow Ukrainians citizens to join their family in the UK and cross the border without the UK visa if they can prove they have relatives in the UK.,Home Office
331319,"Create a police enforcement unit to deal with bus, tram and station crime.",Specialised policing doesn't exist for bus/tram crew and the stations from which they operate. This void leads to a lack of understanding from the police around what happens in this public transport environment up to & including dealing with serious offences.,Home Office
597143,Fund free drink spiking test kits for all bars,"It’s time for the Government to take drink spiking seriously, starting with providing bars with free drink spiking test kits. This will allow for people who suspect their drink has been spiked to get a free instant result and take any necessary action.",Home Office
652757,Hold a referendum before passing legislation enabling the use of digital ID,We want the Government not to implement legislation to support the use of digital identification without this being approved by a referendum. We believe this should be a decision for the people of this country.,Home Office
321244,Allow all NHS workers to get ILR after five years regardless of initial visa,"All NHS workers should be given ILR once they complete 5 years, regardless of their initial stay visa. For example a person under Tier 5 youth exchange program spends 2 years and 3 years under Tier 2 general should be given ILR.",Home Office
644273,Create an AU Pair Specific visa in the UK,"For the government to consider a legal, formal, straight forward route for a young, unskilled person via an Au Pair Visa to enter the UK for a limited period of time to stay in a host family legally in exchange for childcare.",Home Office
659918,Investigate the high number of dead Black people found in Thames,"I urge the Government to launch a comprehensive and transparent investigation into why too high a number of Black people are found deceased in the Thames, including reviewing policing and community safety measures.",Home Office
657474,Allow those already in the UK switching to care visa to bring dependants,"We want the Home Office to stop changes preventing individuals who are in the UK on any other route, including where that route permits dependants, who switch into the care visa as a care worker or senior care worker after 11 March 2024, from being able to stay with bring over dependants.",Home Office
598283,"Scrap the Police, Crime, Sentencing and Courts (PCSC) Bill","The PCSC bill will extend police powers at a time when evidence mounts over systemic abuses of power. In the week that judges ruled that the SpyCops police grossly violated the human rights of a woman, it is clear that the last thing that police need is more power. The bill should be rejected.",Home Office
636906,Minimum 15-year sentence for all child sexual offences,I would like the Government to increase the minimum custodial sentence for any offenders found guilty of a sexual offence against minors to 15 years.,Home Office
301948,Reduce or scrap the immigration health surcharge for overseas NHS Staff.,"To revoke the Immigration Health Surcharge increases for overseas NHS staff. The latest budget shows an increase of £220 a year for an overseas worker to live and work in the UK, at a time when the NHS, and UK economy, relies heavily on them.",Home Office
581023,Restrict the use and sale of covert and 'spy' recording equipment to the public,Legislation needs to be introduced that restricts the use and sale of covert or 'spy' recording and viewing equipment unless to a licensed professional (which needs to be regulated) so it cannot be purchased or installed by the public or businesses without a license in the UK.,Home Office
635521,Ban under 18s being stopped and searched without parental consent,We would like the Government to ban police from stopping and searching young people without the consent of a parent. This means that police officers will not be able to stop and search people under the age of 18 without parental consent.,Home Office
549266,Reduce all immigration fees for Non-EEA Immigrants in UK during Covid-19,This petition has been started by the Immigrants WorkForce Association to call on the UK Government to reduce all immigration fees for all Non-EEA Immigrants by at least 50% during the Covid-19 and until the crisis has passed.,Home Office
334278,Make stirring up hatred based on disability a criminal offence,"While individual cases can be crimes, there is currently no specific crime of spreading hatred based on disability.",Home Office
627573,"Make the production, sale and consumption of cannabis legal in the UK","Since cannabis was legalised in California and other countries, local economies have benefited from legalised marijuana dispensaries, which can help boost the economy and create new jobs. Legalisation can also eradicate the stigma that has surrounded marijuana for years.",Home Office
331854,Increase sentences for human and child trafficking,I would like to see people involved in human and child trafficking to receive harsher sentences than they do currently. These sentences cannot compare to the psychological and physical damage they inflict on a person,Home Office
550468,Implement all of the recommendations of the Problem Drug Use in Scotland report,"Implement every recommendation of the Problem Drug Use in Scotland report by the Scottish Affairs Committee. These include:
1. Declare a public health emergency
2. Back the proposed Safe Consumption Facility in Glasgow
3. Decriminalise the possession of small amounts of drugs for personal use",Home Office
644939,Ban the sale of cigarettes and tobacco in England.,I want the Government and Parliament to seriously review why they are allowing the sale of an Item that causes so much unnecessary harm to public health and wellbeing. Particularly to society's most vulnerable who do not fully understand the harm being done to them both mentally and physically.,Home Office
330829,Exempt Looked After children from citizenship fees,"Citizenship applications for children cost £1,012. Where a child is Looked After this cost would fall on the local authority, which many routinely try and avoid. We want the Government to exempt Looked After children from citizenship fees so these children can more easily secure citizenship.",Home Office
600750,Fund increased police numbers in England and Wales,There should be more Police Beat Officers and Police Community Support Officers in all areas across the UK. At the moment there are too few police. They are a valuable resource in dealing with crime and anti-social behaviour. They are a deterrent and help to make the public feel more at ease.,Home Office
325586,Deport non-UK nationals convicted of violent crime or rioting,"The Government should deport any non-UK national back to their country of origin if they are convicted of rioting or violent crime
 
People should not be allowed in the UK if they have no respect for the country or the country’s police force and civilians.",Home Office
300377,Give UK Citizens’ Family Equal Immigration Rights to that of EU Citizens’ Family,"EU citizens' family can settle after 5 years' continuous residence (no other requirement); the application is free. 
UK citizens' family have to meet additional visa type, financial and language requirements, and pay £2,389.
UK and EU citizens’ family should be given equal immigration rights.",Home Office
624247,Amnesty for undocumented migrants after 10 years and ILR after 12 years ,"Please provide amnesty for undocumented migrants after ten years or more in the UK. They have suffered a lot, please provide them amnesty so they can contribute tax to the government, provide them a legal route without recourse to public funds.
",Home Office
565011,Make free fast-track citizenship available to non-UK keyworkers,"Immigrants who have helped with efforts against COVID-19, including health professionals, those working in social care, childcare workers, essential retail staff, transport workers, and public service workers should be rewarded for their service to the nation with fast-track citizenship.",Home Office
601583,Remove Clause 9 from the Nationality and Borders Bill,"Under provisions in Clause 9 of this Bill, individuals could be stripped of their British citizenship without warning. We believe this is unacceptable, and inconsistent with international human rights obligations.",Home Office
594507,Minimum 5 year jail term for Police misconduct in public office.,I want the Fovenment to introduce a mandatory 5 year jail term for all offences of Misconduct in Public Office committed by serving police officers.,Home Office
588113,Ensure the police offer victim support within 24 hours,"The Government should create new requirements for police forces and fund increased capacity to ensure that officers or a family support officer check in on victims within 24 hours of reporting a crime, to offer support and advice on what happens next.",Home Office
633822,"Grant immediate asylum to ""manifestly-well founded"" asylum claims in the backlog","Approve all Home Office identified ""manifestly-well founded"" asylum claims that have been in process for over 12 months. The Government has introduced what it calls a ""streamlined asylum processing model"" for processing some ""manifestly well-founded cases"". We want these claims approved immediately.",Home Office
642398,Change the Blood Alcohol Concentration (BAC) Limit from 0.08 to 0.02,"Even low alcohol levels impair driving, proven by research. Prioritising safety is essential to prevent accidents, save lives, and align with safer international standards.",Home Office
653642,Remove limit of 548 days outside of the UK for the 10 year route to settlement,Those living lawfully inside the UK for more than 10 years should be able to apply for Indefinite Leave to Remain without the 548 days restriction on time spent outside the UK during that time. ,Home Office
334216,Refund Immigration Health Surcharge for NHS and Social Care Workers in the UK,Prime minister Boris Johnson announced scrapping of IHS for NHS and social care workers on 21 May and latter he announced a refund for the same.  Unfortunately many migrant health workers are excluded from this refund as government included only those who applied for their visa after March 31,Home Office
661258,Ban carrying all knives regardless of length in public and increase sentences,"We want the Government to change the laws surrounding knifes. It is currently legal to have a knife of 3 inches that folds. This can still be a deadly weapon. We want carrying a knife, of any length, in public to be illegal, and sentences for illegal possession of a knife to be increased.",Home Office
301297,British Citizenship for UK-born children of European nationals living in the UK,"To allow people born between 2 October 2000- 29 April 2006, in the UK to EU nationals, to be considered British. And allow for these parents to use treaty rights and Permanent residence status instead of Indefinite leave to remain, which many EU nationals aren’t required to apply.",Home Office
635282,Seek visa-free travel to Europe for BRP holders,"The problem is that holders of a UK Biometric Residence Permit (BRP), who are non-EU citizens, cannot currently travel to Europe using their BRP cards as a valid travel documents.",Home Office
618424,Make bars and clubs in the UK legally provide drink covers.,I want the government to make it a legal requirement for bars and clubs in the UK to provide drink covers for all drinks to prevent spiking. As only having drink covers as an option in only some bars and clubs is not enough.,Home Office
658247,Conduct review of issues experienced by Health and Care visa holders,"I would like the Government to conduct a review of issues experienced by Health and Care Worker visa holders, including reports of exploitation, and take proactive measures to support any victims, recognising their difficulties.",Home Office
618671,End pilot scheme of electronically tagging asylum-seeking people,"The Government should recognise the inhumane nature of tagging asylum seekers, and end this pilot now. We believe tagging people, many of whom may be vulnerable, is unjust, and shows contempt for those seeking refuge.",Home Office
592842,Exempt workers paying tax/NI for 12 months from the immigration health surcharge,Immigrants in the UK has to pay for immigration health surcharge (IHS) as part of their immigration application.,Home Office
324749,Legalise the use of LSD and Psilocybin for Medical and Recreational Use,The Government should recognise the benefits that the use of psychedelics such as LSD and psilocybin mushroom can have for individuals and society. The harmful effects these substances induce can be worsened by the measures taken to stop them.,Home Office
618037,Legalize the use of non-lethal weapons such as pepper spray for self-defense.,"I want the UK government to legalize the use of non-lethal weapons, such as pepper spray, for self-defense. This could be done with full background checks and a license to carry.",Home Office
554483,Make face coverings mandatory in all public areas.,"I want the government to make it mandatory for all people to wear a face covering out in public places, such as on the street or in parks. Of course, this would not apply to those who are exempt from wearing a face covering for health reasons.",Cabinet Office
607574,Allow all people with settled status to vote in UK general elections,"Give persons with indefinite leave to remain or settled status the ability to vote in parliamentary elections. I am directly affected by the decisions made by the Government and Parliament, yet I don't have the right to vote for who should represent me.",Cabinet Office
590631,Remove requirement for gender dysphoria diagnosis to obtain a GRC,"The process for obtaining a Gender Recognition Certificate currently requires a prior diagnosis of the mental disorder gender dysphoria, which risks perpetuating the false idea that one must be mentally ill to be transgender.",Cabinet Office
585688,Grant non-EU citizens the right to vote in local elections,"Currently, EU citizens can vote in local, mayoral and police and crime commissioner elections. However, Brexit has happened. The Government should grant the same right to all non-EU citizens living in England, not just Commonwealth citizens. Election issues affect everyone.",Cabinet Office
563467,Require the Union Flag to be flown on public buildings and schools!,"We call upon the Government to require that the Union Flag should be flown on public buildings and state schools all year round.

We are a proud independent country with a rich history.

Let us celebrate that history by flying our Union Flag.",Cabinet Office
647085,Mandate automatic General Elections when a Prime Minister is replaced mid-term.,"Recent events saw a Prime Minister replaced by party members, bypassing public vote. This petition urges legislation for automatic General Elections in such scenarios, ensuring the leader holds a public mandate, which is foundational to our democracy.",Cabinet Office
310166,Join the Joint European Procurement Initiative.,"The government must join the Joint European Procurement Initiative for purchasing PPE vital for the safety of frontline staff in the battle against Covid-19.  This order covers masks type 2 and 3, gloves, goggles, face-shields, surgical masks and overalls in the first round. Reverse the decision.",Cabinet Office
561995,Repeal Coronavirus Act and end all Covid-19 restrictions,"Repeal Emergency Coronavirus Act. No further National Lockdowns, abolish Tiered restrictions, restore civil liberties & freedoms and increase focus on education, guidance, advice and best practices.",Cabinet Office
582978,Ban all former ministers and MPs from lobbying,It has become clear that ex-ministers and ex-MPs can have a huge influence on the Government through lobbying (persuading the Government to support laws/decisions that may give a corporation of organisation an advantage). We're for a ban on ministers and MPs from lobbying after leaving office.,Cabinet Office
658803,Trigger a by-election automatically if an MP changes parties,To introduce legislation that triggers an automatic by-election should an MP change their party allegiance.,Cabinet Office
329073,Stop using the umbrella term BAME or BME to categorise all ethnic minorities.,"Despite the Government style guide saying not to use the umbrella categorisation of BAME or BME when writing about ethnic minorities, these terms still appear on gov.uk. Minority groups should have their own individual categorisation agreed through consultation with the groups concerned.",Cabinet Office
597096,Make Covid-19 vaccination passports a requirement for all crowded events/venues,"I would like Government to make it a legal requirement for everyone to have to show a Covid-19 vaccine passport, with a photo, in order to access pubs, clubs, sports and music events or anywhere else where lots of people gather.",Cabinet Office
620286,Require Secretaries of State to have relevant qualifications/experience,"The Government should require Secretaries of State to have relevant qualifications/experience eg Education Secretary should have been a teacher, health secretary a doctor, agriculture secretary a farmer/ecologist etc",Cabinet Office
649422,Review criteria for GRC and protected characteristic of gender reassignment,"The Government should hold a review into the criteria for a Gender Recognition Certificate, as set out in the Gender Recognition Act 2004, and the scope of the protected characteristic of gender reassignment under the Equality Act 2010.",Cabinet Office
314555,Give the reigning monarch more power in British politics.,"Her Majesty's Government should pass laws to give the reigning monarch power to dissolve Parliament whenever he/she chooses, sack the incumbent Prime-Minister and Cabinet and also give the Monarch more of a powerful role within home and foreign affairs.",Cabinet Office
307785,"Put appliance engineers, plumbers and electricians into the key workers category","During the coronavirus situation appliance engineer fixing oven to cook, Washing machine to kill the virus in clothes and refrigeration. Emergency Plumbers and electricians. Need to be put into the key worker category to aid the general public and other key workers if we go into full lockdown.",Cabinet Office
301461,Require British Sign Language Interpreters for emergency announcements on TV.,The Deaf community want the government to make a commitment to provide BSL interpreters alongside any emergency announcements. This will allow members of the Deaf community to access information in their preferred language.,Cabinet Office
549099,Add an option to sort and/or search parliamentary petitions by publication date,"We need lots of people routinely checking new petitions for ones they agree with, not just signing those that someone else posts to them. We shouldn’t have to search through the whole list every time to do this.",Cabinet Office
619918,Reduce amounts and rights to payments for Ministers leaving office,"We, the undersigned, call on the Government to amend Section 4 of the Ministerial and other Pensions and Salaries Act 1991 in relation to ""grants"", which are paid to Ministers who leave office, whether they resign or are removed by the Prime Minister.",Cabinet Office
561718,Allow Cinemas to open in tier 3,"We believe cinemas are unfairly being made to close in tier 3 restrictions, and should be allowed to open.",Cabinet Office
570364,Implement Quarantine Hotels for all UK arrivals from overseas.,"New strains of Covid-19 are a threat to the NHS and public health, including through people abusing the exemption for international travel as 'work purposes.' Therefore, the UK Government should do more to protect, introducing a mandatory 7-10 day Hotel Quarantine period for all UK arrivals.",Cabinet Office
563793,"Lift restrictions on all social gatherings such as proms, graduations, weddings","We ask that the UK Government lift the bans that limit people attending all social gatherings including: - Proms and Graduations, Weddings & Blessings, Theatre & Concerts, Music Events, Conferences & Public Speaking Events, Entertainment & Hospitality Services.",Cabinet Office
320092,The Electoral Commission should be reformed or disbanded.,To debate the future of the Electoral Commission,Cabinet Office
590055,Hold a referendum on independence for the North of England,"The North of England deserves complete independence from the South. By holding a referendum, the public can have their opportunity to tell the Government what they really want.",Cabinet Office
562180,Adults with SEND to form support bubbles with parents when in supported living,To change the rules related to support bubbles so that adults in supported living can form a social bubble with their parents/a close family relative.,Cabinet Office
651736,Hold a General Election if 5% of the voting population ask for it,Respect ultimate authority of General Public to force a General Election.,Cabinet Office
598399,Lower the voting age for all elections from 18 to 16,"The Government should reduce the voting age, for all elections the UK Government sets the franchise for, from 18 to 16. The new voting age should also apply to future referendums.",Cabinet Office
638647,Use indelible ink to help prevent multiple voting in elections,In 2003 mandatory photographic voter identification was introduced in Northern Ireland. This was introduced nationwide in 2023.,Cabinet Office
582539,"Open motorsport back up to spectators now, with social distancing rules.","With zoos and theme parks allowed back open,  we don’t see why motorsport fans can’t go back to the tracks",Cabinet Office
550558,Honour the UK-EU Withdrawal Agreement,"This Agreement is an international treaty ratified by the UK and EU parliaments.

The Government plans to pass legislation allowing them to unilaterally amend the agreement, something the SofS for NI has conceded would break international law. We demand that the government honours the agreement.",Cabinet Office
613556,Ensure Trans people are fully protected under any conversion therapy ban,Ensure any ban fully includes trans people and all forms of conversion therapy.,Cabinet Office
558366,Seek to develop a coordinated approach to combat coronavirus in the UK,"Regional differences (England vs Scotland vs Wales vs Northern Ireland) are causing confusion, wasting public money and being used for political gain when the United Kingdom should have a single clear approach to combatting coronavirus.",Cabinet Office
642273,Reform parliamentary privilege to remove protection for defamatory statements,"Enact primary legislation to reform the outdated and often misused and abused concept of parliamentary privilege, ending legal protection for defamatory statements made in Parliament.",Cabinet Office
562098,Move Lancashire and South Yorkshire into Tier 2 Lockdown,"I want the Government to rethink their decision on Lancashire and South Yorkshire being placed in Tier 3 Lockdown when the estimates of R rates for the North East and Yorkshire, and North West are the lowest in the whole country. ",Cabinet Office
589653,Permit congregational singing in all places of worship,Religious people across England want the right to express themselves in worship through the actions of congregational singing.,Cabinet Office
320740,Allow EU citizens with “settled status” to vote in general elections,I want the Government to allow people who have obtained settled status to vote in general elections.,Cabinet Office
628782,Reduce energy use by Government and Parliament by 15%,"The Chancellor of the Exchequer has said that he wants energy consumption to be reduced by 15% by 2030, and that consumers could save up to £500 by reducing their energy usage by 15%. We want the Government and Parliament to lead by example and reduce their own energy usage by 15%.",Cabinet Office
603792,Assess the impact of leaving the EU (Brexit) on the UK,"The Government should conduct a comprehensive assessment of the impact of leaving the EU on the UK, including the impact on each region and sector of the economy.",Cabinet Office
573036,Allow partners to see each other in national lockdown if living apart,"Allow couples/partners who cannot be in lockdown together to see each other without facing any penalties, by exempting them from rules limiting household mixing.",Cabinet Office
562476,Change the Equality Act 2010 to make regional accent discrimination unlawful,"The Act protects against discrimination because of race, nationality and ethnic origins. However, because people with different regional accents may share the same nationality or race, when 'comparators' are applied, regional accent discrimination is not unlawful.",Cabinet Office
638691,"Negotiate EU Citizenship for those 18+ at the time of the EU referendum
 
","The vote for Brexit was close. 48% of the country voted to Remain. We believe those who did should not have lost their EU citizenship. I would like the Government to negotiate with the EU to allow British citizens who were aged 18+ before the referendum to regain their EU citizenship.
",Cabinet Office
556766,Exclude under 12s from the 'rule of 6' for a 'Christmas period',"Over the traditional UK Christmas period, from 24th December until the 26th exclude all under 12s from counting towards the 'rule of 6'.",Cabinet Office
557629,'Non Essential' shops should be allowed to stay open during the current lockdown,"To allow 'non-essential' shops to stay open during the lockdown; including shops such as greetings cards shops, florists, clothes and shoe shops, electronics shops, music shops as long as they have taken all the COVID secure measures.",Cabinet Office
658258,"Only allow older people, disabled people and Armed Forces personnel postal votes","Reform postal voting eligibility and limit postal votes to older people, disabled people and those in the Armed Forces.",Cabinet Office
301120,Introduce Voter ID in every UK constituency for all Local & General Elections,"I believe that democracy is under threat from electoral fraud & that the general public are losing confidence in the security of the electoral process. It is time that Voter ID not just be promised, but rolled-out across the nation.",Cabinet Office
